ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2003-03-08,28.799755598918733,21.886259142051976,27.082114968782683,28.799755598918733,28.799755598918733,-4.166462126496207,-4.166462126496207,-4.166462126496207,0.008322986368015135,0.008322986368015135,0.008322986368015135,-4.174785112864223,-4.174785112864223,-4.174785112864223,0.0,0.0,0.0,24.633293472422526
2003-03-09,28.79963007973301,22.196292845854646,27.55505974579422,28.79963007973301,28.79963007973301,-3.9400033675042883,-3.9400033675042883,-3.9400033675042883,0.022334279835392906,0.022334279835392906,0.022334279835392906,-3.9623376473396807,-3.9623376473396807,-3.9623376473396807,0.0,0.0,0.0,24.85962671222872
2003-03-10,28.799504560547295,22.51291278047573,27.60734663302132,28.799504560547295,28.799504560547295,-3.7175503044453793,-3.7175503044453793,-3.7175503044453793,0.026065392906501315,0.026065392906501315,0.026065392906501315,-3.743615697351881,-3.743615697351881,-3.743615697351881,0.0,0.0,0.0,25.081954256101916
2003-03-11,28.79937904136158,22.71740723673204,27.753372326095725,28.79937904136158,28.79937904136158,-3.5411609000379416,-3.5411609000379416,-3.5411609000379416,-0.022694431395743325,-0.022694431395743325,-0.022694431395743325,-3.5184664686421985,-3.5184664686421985,-3.5184664686421985,0.0,0.0,0.0,25.25821814132364
2003-03-12,28.799253523883706,22.856407404927396,27.937932444897058,28.799253523883706,28.799253523883706,-3.307374317563235,-3.307374317563235,-3.307374317563235,-0.020454663218920276,-0.020454663218920276,-0.020454663218920276,-3.286919654344315,-3.286919654344315,-3.286919654344315,0.0,0.0,0.0,25.491879206320473
2003-03-13,28.799128006405837,22.9595793874914,28.380051320922565,28.799128006405837,28.799128006405837,-3.0540140617193914,-3.0540140617193914,-3.0540140617193914,-0.004822746917984518,-0.004822746917984518,-0.004822746917984518,-3.0491913148014067,-3.0491913148014067,-3.0491913148014067,0.0,0.0,0.0,25.745113944686445
2003-03-14,28.799002488927968,23.201350870307504,28.427385063558052,28.799002488927968,28.799002488927968,-2.8144334498965096,-2.8144334498965096,-2.8144334498965096,-0.008750817577233545,-0.008750817577233545,-0.008750817577233545,-2.8056826323192765,-2.8056826323192765,-2.8056826323192765,0.0,0.0,0.0,25.98456903903146
2003-03-15,28.7988769714501,23.772405500170137,28.909329851989167,28.7988769714501,28.7988769714501,-2.5486505725384077,-2.5486505725384077,-2.5486505725384077,0.00832298636802499,0.00832298636802499,0.00832298636802499,-2.556973558906433,-2.556973558906433,-2.556973558906433,0.0,0.0,0.0,26.250226398911693
2003-03-16,28.79875145397223,23.93772547839287,29.017692074231675,28.79875145397223,28.79875145397223,-2.2814772350807035,-2.2814772350807035,-2.2814772350807035,0.022334279835407003,0.022334279835407003,0.022334279835407003,-2.3038115149161107,-2.3038115149161107,-2.3038115149161107,0.0,0.0,0.0,26.517274218891526
2003-03-17,28.79862593649436,24.176262618026385,29.3956717840562,28.79862593649436,28.79862593649436,-2.021030038925404,-2.021030038925404,-2.021030038925404,0.02606539290648053,0.02606539290648053,0.02606539290648053,-2.0470954318318846,-2.0470954318318846,-2.0470954318318846,0.0,0.0,0.0,26.777595897568958
